search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
nintendo switch 2,/watch?v=GbdxKzq9hLA&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@TheRelaxingEnd,TheRelaxingEnd,"Ultimate NINTENDO SWITCH 2 Unboxing Review (Consoles, Pro Controller, Mario Kart World)",2M views,7 months ago,"Unboxing Nintendo Switch 2 next-gen console, Mario Kart World bundle, Switch 2 Pro Controller, Joy-Con 2, cameras, microSD ...",2026-01-22 06:42:13.887507
nintendo switch 2,/watch?v=ToROY-_-k9A&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@EmSwizzle,EmSwizzle,Everything Wrong With Nintendo Switch 2!,627K views,5 months ago,"Listen to these, and you'll wonder how Nintendo hasn't fixed them! Second Channel @MaxCorbett Podcast Channel ...",2026-01-22 06:42:13.888753
nintendo switch 2,/watch?v=PCQlwYztjMc&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@RussVandy,Russ Vandy,I Bought EVERYTHING Nintendo Switch 2!,422K views,7 months ago,Check out the Dbrand Switch 2 case!: https://dbrand.com/russvandy I finally got the Nintendo Switch 2! Want your name at the ...,2026-01-22 06:42:13.890310
nintendo switch 2,/watch?v=N_ZmHYF6-xM&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@mkbhd,Marques Brownlee,Nintendo Switch 2 Unboxing & First Gameplay!,5.7M views,7 months ago,Bigger screen. Bigger Joycons. Bigger price. Save $35 on a dbrand Killswitch case for your Nintendo Switch 2 at ...,2026-01-22 06:42:21.103481
nintendo switch 2,/watch?v=5g5N053QCi4&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@RGT85,RGT 85,Everything Changes for Nintendo Switch 2 In 2026!,63K views,3 weeks ago,Use code RGTFB50 to get 50% OFF your first Factor box plus free breakfast for 1 year at https://bit.ly/3HJtbq8! #nintendoswitch2 ...,2026-01-22 06:42:21.104276
nintendo switch 2,/watch?v=ad_9Zra6YW8&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@SwitchTop,SwitchTop,TOP 10 PERFECT 10/10 Nintendo Switch 2 Games,37K views,1 month ago,"TOP 10 PERFECT 10/10 Nintendo Switch 2 Games The Nintendo Switch 2 has an incredible library, and these 10 games are ...",2026-01-22 06:42:21.105280
nintendo switch 2,/watch?v=1332VHd_uY8&pp=ygURbmludGVuZG8gc3dpdGNoIDLSBwkJhwoBhyohjO8%3D,/@HappyConsoleGamer,HappyConsoleGamer,BEST NINTENDO SWITCH 2 GAMES - Happy Console Gamer,105K views,2 months ago,Johnny look at what he thinks are some of the bets Nintendo Switch games released so far.. Check out Persona 3 Reload for the ...,2026-01-22 06:42:21.106036
nintendo switch 2,/watch?v=QHKYLboAQ7Q&pp=ygURbmludGVuZG8gc3dpdGNoIDLSBwkJhwoBhyohjO8%3D,/@TechFowler,Tech Fowler,Nintendo Switch vs Nintendo Switch 2! Which Should YOU Buy in 2025,361K views,7 months ago,Grab the 3rd Kor Badge for the Nintendo Switch 2 Mario Kart World Bundle Giveaway! https://claim.korcrew.com/44ldBcC The ...,2026-01-22 06:42:21.106930
nintendo switch 2,/watch?v=zkOwORVq9Jw&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@Eeowna,Eeowna,Do I REGRET the Nintendo Switch 2?!,149K views,3 months ago,"My review of the Nintendo Switch 2, 4 months later... Subscribe: https://bit.ly/3d52DN7 | Watch the newest videos: ...",2026-01-22 06:42:21.108218
nintendo switch 2,/watch?v=wA7GtYum1ZI&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@RetroRaconteur,RetroRaconteur,27 Things You NEED to Know Before Buying a Nintendo Switch 2,572K views,8 months ago,Today we're covering 27 things you NEED to know before buying a Nintendo Switch 2. Whether you're a die-hard Nintendo fan or ...,2026-01-22 06:42:21.109187
nintendo switch 2,/watch?v=2hOPe-FSs9Y&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@Xtracion,Xtracion,Unboxing The Nintendo Switch 2 Console + Mario Kart World - ASMR,1M views,7 months ago,Here we Xtract and Unbox the Nintendo Switch 2 Console With Mario Kart Game Bundle #NintendoSwitch2 #MarioKart ...,2026-01-22 06:42:21.109836
nintendo switch 2,/watch?v=VxVcHcjGK-0&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@SwitchForce,SwitchForce,Nintendo Switch 2 in 2026 Is Going to Be Wild - My Bold Predictions,14K views,2 weeks ago,"2026 is shaping up to be a MASSIVE year for Nintendo and the Nintendo Switch 2. In this video, I'm sharing my top predictions for ...",2026-01-22 06:42:21.110618
nintendo switch 2,/watch?v=2d17mylSwLQ&pp=ygURbmludGVuZG8gc3dpdGNoIDLSBwkJhwoBhyohjO8%3D,/@EmSwizzle,EmSwizzle,Nintendo Switch 2 Review! (1 Month In),450K views,6 months ago,"A lot of good, and plenty of bad! Second Channel @MaxCorbett Podcast Channel @TheMarioMatter ⭐ Become a ...",2026-01-22 06:42:21.111318
